energy,sigma
0.000393263,1.92237
0.00039338,2.03246
0.000393497,2.15285
0.000393614,2.28492
0.00039373,2.43031
0.000393847,2.59098
0.000393964,2.76926
0.00039408,2.96796
0.000394171,3.1388
0.000394262,3.32599
0.000394353,3.53177
0.000394444,3.75882
0.000394534,4.01027
0.000394625,4.28982
0.000394716,4.60183
0.000394784,4.86022
0.000394846,5.11429
0.000394923,5.46615
0.000395001,5.85692
0.000395079,6.292
0.000395137,6.651
0.000395196,7.04115
0.000395254,7.46556
0.000395312,7.92754
0.000395371,8.43069
0.000395429,8.97884
0.000395491,9.61774
0.000395554,10.3177
0.000395616,11.0841
0.000395678,11.9226
0.00039574,12.8389
0.000395787,13.5807
0.000395839,14.4629
0.000395891,15.4094
0.000395943,16.4231
0.000395995,17.5069
0.000396046,18.6633
0.000396124,20.5389
0.000396202,22.5883
0.00039628,24.8143
0.000396358,27.216
0.000396436,29.7886
0.000396513,32.5224
0.000396617,36.3922
0.000396747,41.5168
0.000397053,54.0347
0.000397193,59.4108
0.000397297,63.0068
0.000397374,65.4071
0.000397444,67.3066
0.000397533,69.2977
0.000397603,70.528
0.000397681,71.5027
0.000397758,72.0444
0.000397814,72.1595
0.000397901,71.8811
0.000397994,70.9701
0.000398059,69.9786
0.000398156,67.9764
0.000398251,65.4909
0.000398345,62.594
0.000398438,59.3364
0.000398562,54.5814
0.000398905,40.6388
0.000399019,36.1665
0.000399102,33.0714
0.000399185,30.1385
0.000399268,27.3866
0.000399335,25.2923
0.000399413,23.0386
0.000399491,20.9606
0.000399569,19.0562
0.000399621,17.8807
0.000399673,16.778
0.000399724,15.7459
0.000399785,14.6309
0.000399845,13.6027
0.000399905,12.6564
0.000399966,11.7868
0.000400026,10.9888
0.000400086,10.2571
0.000400147,9.58685
0.000400207,8.97307
0.000400265,8.43281
0.000400323,7.93637
0.00040038,7.48005
0.000400438,7.0604
0.000400496,6.67419
0.000400554,6.31845
0.000400631,5.88682
0.000400708,5.49864
0.000400786,5.1487
0.00040087,4.806
0.000400915,4.63551
0.000401006,4.3221
0.000401097,4.04125
0.000401187,3.78858
0.000401278,3.56039
0.000401369,3.35355
0.00040146,3.16538
0.00040155,2.99363
0.000401667,2.79385
0.000401784,2.61458
0.000401901,2.45301
0.000402017,2.30677
0.000402134,2.17392
0.000402251,2.05281
0.000402367,1.94204
0.000402484,1.84043
0.000402627,1.72722
0.000402769,1.62463
0.000402912,1.53132
0.000403055,1.44618
0.000403197,1.36827
0.00040334,1.29678
0.000403483,1.23099
0.000403625,1.17031
0.000403807,1.09965
0.000403989,1.03548
0.00040417,0.977024
0.000404352,0.923613
0.000404533,0.874674
0.000404715,0.829716
0.000404896,0.788313
0.000405078,0.750097
0.000405305,0.706318
0.000405532,0.666472
0.000405759,0.630095
0.000405986,0.596792
0.000406213,0.566223
0.00040644,0.538094
0.00040678,0.499929
0.000407039,0.473702
0.000407331,0.446774
0.000407623,0.422257
0.000407915,0.39987
0.000408207,0.379372
0.000408498,0.360554
0.000408936,0.335091
0.000409228,0.319737
0.000409552,0.304016
0.000410038,0.282759
0.000410525,0.263915
0.000411011,0.247134
0.000411497,0.232125
0.000411822,0.222983
0.00041234,0.209609
0.000412859,0.197587
0.000413378,0.186738
0.000413897,0.176917
0.000414415,0.167997
0.000414934,0.159873
0.000415453,0.152452
0.000415972,0.145653
0.00041662,0.137927
0.000417269,0.130954
0.000417917,0.124637
0.000418565,0.118896
0.000419214,0.113661
0.000420186,0.106632
0.000421159,0.100448
0.000422229,0.0944619
0.000423299,0.0891961
0.000424369,0.084537
0.000425439,0.0803976
0.000426509,0.0767015
0.000427616,0.0732645
0.000428366,0.0711327
0.000429866,0.0672885
0.000431367,0.0639226
0.000432867,0.0609552
0.000434394,0.0582793
0.000435921,0.0558959
0.000437448,0.0537612
0.000439748,0.0509361
0.000442071,0.0484772
0.000444393,0.0463372
0.000446738,0.0444412
0.000448308,0.0432961
0.000451448,0.0412579
0.000454633,0.0394731
0.000457817,0.0379086
0.000461016,0.0365217
0.000465772,0.0347308
0.00047044,0.0332205
0.000475109,0.0319016
0.000480028,0.0306777
0.0004868,0.0291991
0.000493668,0.0278977
0.000500633,0.0267327
0.000511252,0.0251839
0.000521019,0.0239446
0.000531705,0.022742
0.000541829,0.0217212
0.000556115,0.0204337
0.000567912,0.0194788
0.000584049,0.0183019
0.000600128,0.017251
0.000617181,0.0162466
0.000635312,0.0152839
0.000652625,0.0144473
0.000672275,0.0135847
0.00069622,0.0126417
0.000715807,0.011943
0.000736147,0.0112785
0.000762406,0.0105043
0.000789562,0.00978431
0.000817726,0.00911651
0.00084394,0.00855532
0.000875065,0.0079555
0.000902135,0.00748707
0.000929496,0.00705106
0.000958956,0.00662691
0.000993114,0.0061823
0.00102751,0.0057805
0.00105363,0.00550084
0.00107975,0.00524207
0.00110587,0.00500163
0.00113992,0.00471438
0.00117594,0.00443602
0.00121036,0.00419535
0.00124475,0.00397465
0.00128909,0.00371664
0.00133339,0.00348368
0.00137665,0.00327931
0.00141932,0.00309637
0.00146987,0.00290037
0.00152231,0.00271816
0.00156556,0.00258173
0.00161092,0.00245091
0.00166806,0.00230143
0.00173147,0.00215257
0.00180148,0.00200707
0.00186816,0.00188426
0.00193711,0.00177094
0.00200491,0.0016705
0.00207445,0.00157796
0.00214845,0.00148977
0.00220888,0.00142431
0.0022949,0.00134036
0.00238969,0.00125841
0.00246866,0.00119729
0.00255567,0.00113686
0.00265999,0.00107209
0.0027504,0.00102215
0.00285619,0.000970085
0.00295721,0.000925974
0.00307039,0.000882094
0.00317702,0.000845498
0.00330314,0.000808796
