energy,sigma
0.00794998,0.00644259
0.00796182,0.00682591
0.00797365,0.00724821
0.00798549,0.00771522
0.00799732,0.00823315
0.00800916,0.00880998
0.00802099,0.00945455
0.00802987,0.00998919
0.00803875,0.0105716
0.00804762,0.0112114
0.0080565,0.0119153
0.00806537,0.0126915
0.00807425,0.01355
0.00808313,0.0145028
0.008092,0.0155642
0.00810088,0.016751
0.0081068,0.0176219
0.00811272,0.0185645
0.00811863,0.0195869
0.00812455,0.0206983
0.00813047,0.021909
0.00813639,0.0232308
0.0081425,0.0247268
0.00814881,0.0264325
0.00815512,0.0283225
0.00816144,0.0304218
0.00816657,0.0323046
0.00817248,0.0347044
0.0081784,0.037381
0.00818432,0.0403771
0.00818826,0.0425769
0.00819221,0.0449589
0.00819615,0.047543
0.0082001,0.0503517
0.00820404,0.0534109
0.00820799,0.0567498
0.00821193,0.0604018
0.00821588,0.0644052
0.00821982,0.0688039
0.00822377,0.0736481
0.00822771,0.0789958
0.00823166,0.0849136
0.0082356,0.0914784
0.00823856,0.0968792
0.00824152,0.102735
0.00824448,0.109094
0.00824744,0.116006
0.0082504,0.123529
0.00825336,0.131726
0.00825631,0.140665
0.00825927,0.15042
0.00826223,0.161072
0.00826519,0.172704
0.00826815,0.185404
0.00827111,0.19926
0.00827407,0.214356
0.00827703,0.230766
0.00827999,0.248548
0.00828294,0.26773
0.0082859,0.288299
0.00828985,0.317737
0.00829399,0.350685
0.00830188,0.415559
0.00830543,0.443184
0.00830839,0.464004
0.00831135,0.481831
0.00831431,0.49576
0.00831628,0.502484
0.00831825,0.506941
0.00832082,0.509147
0.00832269,0.508143
0.00832456,0.50496
0.00832644,0.499677
0.00832925,0.488091
0.00833206,0.472646
0.00833487,0.454105
0.00833827,0.428711
0.00834444,0.378605
0.0083506,0.32833
0.0083543,0.299892
0.0083579,0.274078
0.00836145,0.250606
0.008365,0.229154
0.00836855,0.209677
0.00837092,0.197741
0.00837328,0.186599
0.00837565,0.176206
0.00837802,0.166519
0.00838157,0.153212
0.00838512,0.141242
0.00838867,0.130468
0.00839222,0.120761
0.00839479,0.114347
0.00839755,0.107946
0.00840031,0.102027
0.00840307,0.0965467
0.00840583,0.0914669
0.00840997,0.084523
0.00841412,0.078299
0.00841708,0.0742438
0.00842023,0.0702401
0.00842339,0.066538
0.00842654,0.0631096
0.00843128,0.0584263
0.00843601,0.0542297
0.00844075,0.0504572
0.00844548,0.0470557
0.00845021,0.0439796
0.00845495,0.0411901
0.00845968,0.0386536
0.00846441,0.0363412
0.00846974,0.0339769
0.00847536,0.0317222
0.00848098,0.0296856
0.00848661,0.0278419
0.00849223,0.026159
0.00849598,0.025118
0.00850224,0.0235128
0.0085085,0.022059
0.00851476,0.0207372
0.00852103,0.0195322
0.00852818,0.0182867
0.00853533,0.0171549
0.00854248,0.0161252
0.00854963,0.0151872
0.00855752,0.014246
0.00856541,0.0133917
0.0085733,0.0126141
0.00858119,0.0119041
0.00858908,0.0112544
0.00859697,0.0106583
0.00860486,0.0101101
0.00861275,0.00960484
