Run ID,40Ar,40Ar_err,39Ar,39Ar_err,38Ar,38Ar_err,37Ar,37Ar_err,36Ar,36Ar_err
 37052-47 ,3.163032,0.0021471,0.8766081,0.0006221,0.0104272,0.0000429,0.014957,0.0001816,0.0001033,0.000018
37052-50 ,4.344142,0.0026926,1.199248,0.0007008,0.0146185,0.0000844,0.0197723,0.0001776,0.0001857,0.0000186
37052-51,3.424485,0.0024166,0.929599,0.0007106,0.0112362,0.000068,0.015395,0.0001238,0.0003648,0.0000186
 37052-53,2.633874,0.0019723,0.7218625,0.0005242,0.008815,0.0000585,0.0126938,0.0001242,0.0001725,0.0000176
 37052-54 ,3.422944,0.0020591,0.9461706,0.0006319,0.0114639,0.0000623,0.0158554,0.0001743,0.0001308,0.000018
37053-01 ,10.63034,0.0037363,2.905853,0.001406,0.0348074,0.0000912,0.0496575,0.0002686,0.0007013,0.0000212
37053-05 ,6.498678,0.0030676,1.716475,0.0007501,0.0209991,0.0000815,0.0300595,0.0002132,0.0012037,0.0000212
37053-08 ,10.47778,0.0034482,2.845115,0.0015057,0.0346629,0.0000941,0.0487173,0.0002835,0.0008625,0.0000219
37053-10 ,5.992827,0.0028792,1.667281,0.0007699,0.0202904,0.0000902,0.0290527,0.0002104,0.000107,0.0000186
37053-13,5.443302,0.0028792,1.509516,0.00076,0.018293,0.0000902,0.0257215,0.0002435,0.0000989,0.0000186
 37053-14 ,16.14016,0.0046098,4.344795,0.0018051,0.0525435,0.0001414,0.0727688,0.0003203,0.0018395,0.0000258
37053-18 ,5.610501,0.0027857,1.561383,0.0008392,0.0189321,0.0000805,0.0262541,0.0002037,0.0000776,0.0000186
37053-19 ,5.479704,0.0028792,1.476363,0.0008095,0.0178233,0.0000604,0.0259152,0.0001443,0.0006353,0.0000205
37053-21 ,5.245841,0.0022361,1.452684,0.0007107,0.0174611,0.0000738,0.0245351,0.0001639,0.0001263,0.0000186
37053-22 ,13.94909,0.0045122,3.871255,0.0018051,0.0467885,0.0001217,0.0680969,0.0003594,0.0001768,0.0000227
37053-23 ,11.61136,0.0037363,3.090783,0.0016055,0.037771,0.0001118,0.0551344,0.0003319,0.0017206,0.0000242
37053-24 ,4.911127,0.0026,1.356914,0.0008095,0.0165937,0.0000747,0.0231114,0.0002167,0.0001313,0.0000192
37053-25 ,9.196904,0.0069721,2.550325,0.0021048,0.0306483,0.0001315,0.0427719,0.0002118,0.0002125,0.0000219
37053-27 ,8.396552,0.0034482,2.323281,0.0011072,0.0280212,0.0001,0.0396962,0.0002674,0.0002078,0.0000192
37053-30 ,1.260933,0.00164,0.3489328,0.0003988,0.0040829,0.0000312,0.0058707,0.0001523,0.00003,0.0000173
37053-36 ,13.85891,1 0.0043174,3.74623,0.0017053,0.0454372,0.0001118,0.0637467,0.000306,0.0013883,0.0000242
37053-37 ,8.022538,0.0029732,2.137035,0.0009582,0.0261034,0.0000922,0.0366558,0.0002447,0.0012327,0.0000219
37053-38 ,6.564701,0.0030676,1.819396,0.0008491,0.0219675,0.0000747,0.0317712,0.0001598,0.0001042,0.0000198
37053-39 ,11.18795,0.0042202,3.086029,0.0017053,0.0368462,0.0001118,0.0524325,0.0002966,0.0003167,0.0000212
37053-40 ,11.00082,0.0042202,3.051113,0.0016055,0.0364709,0.0001315,0.0520971,0.0003201,0.0001463,0.0000212
37053-41 ,8.826067,0.0034482,2.440013,0.0012068,0.029395,0.0000971,0.041112,0.0003033,0.0001376,0.0000198
37053-42 ,6.64828,0.0029732,1.816642,0.0008491,0.0217047,0.0000941,0.032653,0.0002642,0.0004224,0.0000205
37053-45 ,9.233026,0.0034482,2.431231,0.001406,0.0294719,0.0000912,0.0413711,0.0002885,0.0016701,0.0000258
37053-46 ,6.596389,0.0030676,1.831965,0.000859,0.0218629,0.0000854,0.0311141,0.000266,0.000131,0.0000198
37053-49 ,9.940556,0.0032573,2.752313,0.001406,0.0335345,0.0000932,0.0448834,0.0003085,0.0002251,0.0000205
37053-50 ,12.19549,0.0039294,3.228134,0.0018052,0.0389819,0.0001118,0.0548881,0.0003266,0.0020366,0.0000258
