Run ID,40Ar,40Ar_err,39Ar,39Ar_err,38Ar,38Ar_err,37Ar,37Ar_err,36Ar,36Ar_err
37052-34 ,0.6611816,0.0012093,0.9658068,0.0007501,0.0117576,0.0000623,0.0092061,0.000136,0.0002031,0.000018
37052-35 ,1.296471,0.001156,1.499941,0.0008193,0.0180803,0.0000728,0.0150919,0.000132,0.0012099,0.0000192
37052-41 ,1.327102,0.0014072,1.952747,0.0008094,0.0234864,0.0000834,0.0177726,0.0001891,0.0003673,0.0000186
37052-44 ,0.888183,0.0012621,1.329553,0.0006417,0.015869,0.0000747,0.0113341,0.0001522,0.000198,0.0000173
37052-46 ,1.174306,0.001562,1.83351,0.0009383,0.0220454,0.0000961,0.0159835,0.0001622,0.0000915,0.0000186
37052-48,1.037476,0.001306,1.598398,0.0008391,0.0190392,0.0000786,0.0150829,0.0001722,0.0001534,0.000018
 37052-49 ,1.066729,0.0013255,1.581764,0.0007897,0.0188043,0.0000757,0.0148604,0.0001678,0.0002803,0.0000176
37052-52,0.6288469,0.0012037,0.9177794,0.0006909,0.0109714,0.0000585,0.0086646,0.0001411,0.0001961,0.0000176
 37052-55 ,0.5321958,0.0011819,0.7697343,0.0005535,0.0093563,0.0000632,0.0067233,0.0001463,0.0001756,0.0000176
37052-56 ,1.253206,0.0013724,1.642315,0.0007897,0.0198729,0.0000854,0.0143937,0.0001561,0.0007647,0.0000192
37052-57 ,0.5450488,0.0011461,0.8322756,0.0006221,0.0101326,0.0000661,0.0077506,0.0001517,0.0001056,0.0000169
37052-58 ,0.6888291,0.0011819,0.9865159,0.0005535,0.011881,0.0000614,0.0088495,0.0001029,0.0002504,0.0000173
37052-59 ,0.773583,0.001244,1.17959,0.0007304,0.0142518,0.0000718,0.0107325,0.000143,0.0001203,0.0000178
37053-02 ,1.384615,0.0013656,2.015727,0.0008391,0.02422,0.0000971,0.0179009,0.0001868,0.0004164,0.0000186
37053-03 ,1.613875,0.001562,2.459341,0.0013063,0.0295381,0.0000971,0.0255195,0.0002125,0.0002631,0.0000186
37053-04 ,0.9927795,0.001306,1.486593,0.0007501,0.0179972,0.0000757,0.0135166,0.0001726,0.0002232,0.0000179
37053-06 ,0.2456841,0.0011092,0.3818266,0.0004371,0.0045135,0.0000502,0.0032906,0.0000978,0.0000267,0.000017
37053-07,0.9928259,0.0011092,1.516478,0.0008193,0.0182228,0.000068,0.0135764,0.0001234,0.0001542,0.0000172
 37053-09 ,0.8407881,0.0012682,1.295955,0.0007501,0.0154586,0.0000747,0.0122153,0.0001413,0.00011,0.0000175
37053-11 ,2.348823,0.0014866,3.251146,0.001406,0.0392302,0.0000961,0.0293502,0.0002108,0.00108,0.0000198
37053-12 ,0.7561168,0.001256,1.169416,0.0007996,0.013852,0.0000651,0.0112904,0.0001562,0.0000783,0.0000178
37053-15 ,1.046207,0.0013255,1.546103,0.0008095,0.0185251,0.0000854,0.0136279,0.0001298,0.0002576,0.0000186
37053-16 ,1.324308,0.0013321,2.025701,0.0009681,0.0241029,0.0000834,0.0193009,0.0001923,0.0001913,0.0000186
37053-17,1.156975,0.0013656,1.631461,0.0009085,0.0195607,0.0000844,0.015385,0.0001878,0.0004859,0.0000192
 37053-20,1.241456,0.0014072,1.813532,0.0007699,0.0218151,0.0000873,0.0166051,0.0001736,0.0003828,0.0000192
 37053-26,1.310673,0.0013387,1.979353,0.0008887,0.0239765,0.0000747,0.0182509,0.0001859,0.0002521,0.000018
 37053-28,0.4192256,0.0011982,0.50137,0.0004083,0.0061204,0.0000386,0.0047818,0.0001094,0.0003496,0.0000176
 37053-29,1.088914,0.0012744,1.613303,0.0007403,0.0194696,0.0000796,0.0147708,0.0001871,0.0002623,0.000018
 37053-31,0.6472224,0.0011819,0.9068343,0.0006712,0.0108686,0.0000566,0.0082342,0.0001213,0.0002839,0.0000178
 37053-32,0.8100319,0.0012093,1.20709,0.0006909,0.0145922,0.0000699,0.0110262,0.0001579,0.0001887,0.0000173
 37053-33,0.7166109,0.001244,1.082216,0.0006614,0.0130259,0.000068,0.0092127,0.0001219,0.0001283,0.0000177
 37053-34,0.9957224,0.0013387,1.461198,0.0007897,0.0174739,0.0000805,0.0128721,0.0001838,0.0002657,0.0000176
 37053-35,1.421022,0.0013862,1.925291,0.0009085,0.0232765,0.0000844,0.0181163,0.0001893,0.0007297,0.0000186
 37053-43 ,0.5813239,0.0011714,0.8656126,0.0006319,0.0104537,0.0000642,0.0073296,0.0001767,0.0001395,0.0000174
37053-44 ,1.567143,0.0014142,2.320348,0.0011072,0.0276022,0.0000932,0.0215313,0.000147,0.0003722,0.0000186
37053-47 ,0.9185732,0.001256,1.428456,0.0006811,0.0172876,0.0000767,0.0128191,0.0001341,0.0000815,0.0000173
37053-48 ,2.337365,0.0019723,1.956639,0.0008392,0.0241808,0.0000776,0.0175498,0.0002054,0.0037736,0.0000198
37053-51 ,0.9150025,0.001306,1.377891,0.0007699,0.016444,0.0000709,0.0130137,0.0001639,0.0001796,0.000018
